ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);"PM10 
(ug/m3)";"PM2.5 
(ug/m3)";SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C);;;;;;
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 00:00;0;0;97.90;0;28.18;12.01;7.22;73.59;0;91.36;-12.10972;-77.05194;100835.56;14.91;;;;;;
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 01:00;0;0;99.85;0;31.36;14.86;7.24;77.91;0;91.74;-12.10972;-77.05194;100862.39;14.87;;;;;;
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 02:00;0;0;96.03;0;34.49;14.29;7.23;76.71;0;91.33;-12.10972;-77.05194;100826.87;14.82;;;;;;
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 03:00;0;0;94.60;0;37.64;14.73;7.23;75.31;0;90.81;-12.10972;-77.05194;100774.97;14.82;;;;;;
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 04:00;0;0;92.20;0;30.70;13.62;7.23;77.21;0;90.97;-12.10972;-77.05194;100779.31;14.76;;;;;;
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 05:00;0;0;94.12;0;35.54;14.87;7.24;77.81;0;91.38;-12.10972;-77.05194;100827.69;14.70;;;;;;
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 06:00;0;0;93.99;0;42.05;16.16;7.23;93.36;0;92.17;-12.10972;-77.05194;100873.25;14.56;;;;;;
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 07:00;0;0;106.12;0;44.58;15.96;7.25;93.94;0;93.00;-12.10972;-77.05194;100917.64;14.50;;;;;;
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 08:00;0;0;101.83;0;38.47;13.29;7.25;98.93;0.03;93.18;-12.10972;-77.05194;100952.16;14.58;;;;;;
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 09:00;93.89;0;99.05;0;38.74;11.79;7.34;100.36;0.24;91.48;-12.10972;-77.05194;101002.26;15.06;;;;;;
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 10:00;0;0;84.82;0;32.18;10.47;7.33;97.23;0.58;88.44;-12.10972;-77.05194;101016.45;15.59;;;;;;
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 11:00;0;0;63.57;0;17.65;6.77;7.70;97.86;1.52;85.01;-12.10972;-77.05194;100972.06;16.42;;;;;;
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 12:00;0;0;14.42;0.68;11.64;5.11;8.24;102.56;4.26;81.07;-12.10972;-77.05194;100887.06;17.23;;;;;;
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 13:00;0;0;8.98;3.82;10.92;4.74;8.22;102.46;4.26;80.09;-12.10972;-77.05194;100821.61;17.56;;;;;;
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 14:00;0;0;34.29;3.15;10.72;5.14;7.99;100.60;3.00;80.36;-12.10972;-77.05194;100744.27;17.13;;;;;;
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 15:00;0;0;50.52;0.27;9.43;4.87;7.98;98.20;1.51;79.13;-12.10972;-77.05194;100687.72;17.72;;;;;;
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 16:00;0;0;78.05;0;16.89;6.98;7.95;102.27;0.68;81.44;-12.10972;-77.05194;100653.66;17.69;;;;;;
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 17:00;0;0;127.97;0;19.69;8.23;7.55;102.63;0.41;87.59;-12.10972;-77.05194;100652.45;16.62;;;;;;
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 18:00;0;0;136.59;0;25.70;10.02;7.24;103.68;0.05;91.45;-12.10972;-77.05194;100674.50;15.90;;;;;;
20;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 19:00;0;0;133.14;0;32.78;13.18;7.19;104.43;0;94.14;-12.10972;-77.05194;100721.41;15.45;;;;;;
21;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 20:00;0;0;124.78;0;46.04;16.61;7.21;102.76;0;94.84;-12.10972;-77.05194;100796.38;15.35;;;;;;
22;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 21:00;0;0;115.19;0;41.99;12.40;7.25;100.99;0;93.71;-12.10972;-77.05194;100818.67;15.20;;;;;;
23;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 22:00;0;0;106.88;0;46.50;11.51;7.25;97.43;0;93.53;-12.10972;-77.05194;100838.01;15.20;;;;;;
24;10069;150122;PE;Subgerencia de Desarrollo Ambiental;01/08/2020 23:00;0;0;97.43;0;43.47;11.56;7.22;87.39;0;93.80;-12.10972;-77.05194;100852.40;15.07;;;;;;
25;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 00:00;0;0;93.67;0;39.33;11.25;7.22;77.89;0;94.07;-12.10972;-77.05194;100840.02;15.01;;;;;;
26;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 01:00;0;0;89.35;0;25.85;9.44;7.22;78.58;0;95.27;-12.10972;-77.05194;100798.95;14.66;;;;;;
27;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 02:00;0;0;88.22;0;24.07;9.15;7.22;75.30;0;96.40;-12.10972;-77.05194;100726.31;14.52;;;;;;
28;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 03:00;0;0;85.73;0;23.65;8.01;7.21;80.97;0;96.54;-12.10972;-77.05194;100664.19;14.30;;;;;;
29;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 04:00;0;0;85.33;0;22.13;7.82;7.21;75.49;0;96.87;-12.10972;-77.05194;100607.88;14.07;;;;;;
30;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 05:00;0;0;85.96;0;23.85;8.49;7.21;76.22;0;97.55;-12.10972;-77.05194;100580.48;13.90;;;;;;
31;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 06:00;0;0;87.46;0;23.95;9.60;7.22;85.04;0;97.96;-12.10972;-77.05194;100605.58;13.89;;;;;;
32;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 07:00;0;0;89.69;0;24.85;9.85;7.22;85.46;0;98.14;-12.10972;-77.05194;100651.41;13.87;;;;;;
33;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 08:00;0;0;91.21;0;22.96;11.11;7.24;84.21;0.06;97.96;-12.10972;-77.05194;100697.01;13.99;;;;;;
34;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 09:00;0;0;82.16;0;20.74;7.91;7.25;98.90;0.30;96.63;-12.10972;-77.05194;100757.82;14.37;;;;;;
35;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 10:00;0;0;73.68;0;17.15;6.81;7.28;85.78;0.56;94.65;-12.10972;-77.05194;100806.51;14.94;;;;;;
36;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 11:00;0;0;68.52;0;24.16;7.93;7.45;88.55;0.88;91.49;-12.10972;-77.05194;100806.54;15.98;;;;;;
37;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 12:00;0;0;57.24;0;11.08;4.65;7.86;96.13;1.35;85.37;-12.10972;-77.05194;100777.41;17.27;;;;;;
38;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 13:00;0;0;43.76;0;19.04;6.34;8.04;91.52;1.38;81.92;-12.10972;-77.05194;100726.10;17.83;;;;;;
39;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 14:00;0;0;61.58;0;21.43;7.18;7.94;91.97;1.19;83.20;-12.10972;-77.05194;100662.34;17.35;;;;;;
40;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 15:00;0;0;65.12;0;23.29;7.85;7.95;98.07;1.09;79.82;-12.10972;-77.05194;100612.95;17.96;;;;;;
